NC_023303	Pea yellow stunt virus
NC_023311	Pea yellow stunt virus
NC_027016	Papio ursinus cytomegalovirus
NC_027040	Ageratum yellow vein virus
NC_027054	Porcine kobuvirus
NC_023312	Tomato leaf curl Liwa virus
NC_026942	Sheep polyomavirus 1
NC_026944	Thetapolyomavirus trepennellii
NC_026947	Bhendi yellow vein mosaic alphasatellite
NC_026946	Human papillomavirus KC5
NC_026945	Zebra finch circovirus
NC_026943	Cherax quadricarinatus densovirus
NC_027199	Bovine nidovirus TCH5
NC_027198	Rottboellia yellow mottle virus
NC_027208	Sclerotinia sclerotiorum fusarivirus 1
NC_027209	Magnaporthe oryzae virus 3
NC_027211	Nectarine stem pitting associated virus
NC_027210	Catharanthus mosaic virus
NC_027117	Desmodus rotundus endogenous retrovirus
NC_027123	Cymbidium chlorotic mosaic virus
NC_027121	Areca palm velarivirus 1
NC_027122	Vesivirus ferret badger/JX12/China/2012
NC_027131	Grapevine Roditis leaf discoloration-associated virus
NC_027133	Kenaf leaf curl betasatellite
NC_027141	Bhanja virus
NC_027142	Bhanja virus
NC_027140	Bhanja virus
NC_027124	Pebjah virus
NC_027128	La Jolla virus
NC_027126	Kilifi Virus
NC_027138	Sclerotinia sclerotiorum botybirnavirus 1
NC_027139	Sclerotinia sclerotiorum botybirnavirus 1
NC_027135	Mammarenavirus okahandjaense
NC_027137	Mammarenavirus okahandjaense
NC_027134	Mammarenavirus marientalense
NC_027136	Mammarenavirus marientalense
NC_027129	Hollyhock yellow vein mosaic Islamabad virus
NC_027214	Ampivirus A1
NC_027212	Camponotus yamaokai virus
NC_027215	Tomato yellow leaf curl Mali virus
NC_027428	Beauveria bassiana RNA virus 1
NC_027426	Astrovirus Er/SZAL6/HUN/2011
NC_027427	Ustilaginoidea virens unassigned RNA virus HNND-1
NC_027432	Portulaca latent viroid
NC_027431	Chilli leaf curl India alphasatellite
NC_027430	Gyrovirus GyV8
NC_027429	Bearded dragon parvovirus
NC_027534	Chenuda virus
NC_027535	Chenuda virus
NC_027537	Chenuda virus
NC_027538	Chenuda virus
NC_027549	Chenuda virus
NC_027550	Chenuda virus
NC_027552	Chenuda virus
NC_027551	Chenuda virus
NC_027536	Chenuda virus
NC_027548	Chenuda virus
NC_027563	Fusarium oxysporum f. sp. dianthi mycovirus 1
NC_027565	Fusarium oxysporum f. sp. dianthi mycovirus 1
NC_027566	Fusarium oxysporum f. sp. dianthi mycovirus 1
NC_027564	Fusarium oxysporum f. sp. dianthi mycovirus 1
NC_027553	Chobar Gorge virus
NC_027567	Lutzomyia reovirus 1
NC_027568	Lutzomyia reovirus 1
NC_027569	Lutzomyia reovirus 1
NC_027571	Lutzomyia reovirus 1
NC_027573	Lutzomyia reovirus 1
NC_027576	Lutzomyia reovirus 1
NC_027574	Lutzomyia reovirus 1
NC_027570	Lutzomyia reovirus 1
NC_027572	Lutzomyia reovirus 1
NC_027532	Pan troglodytes troglodytes polyomavirus 1
NC_027528	Human papillomavirus 201
NC_027527	Pea streak virus
NC_027533	Wad Medani virus
NC_027539	Wad Medani virus
NC_027540	Wad Medani virus
NC_027543	Wad Medani virus
NC_027545	Wad Medani virus
NC_027546	Wad Medani virus
NC_027547	Wad Medani virus
NC_027542	Wad Medani virus
NC_027544	Wad Medani virus
NC_027541	Wad Medani virus
NC_027531	Rattus norvegicus polyomavirus 1
NC_027530	Cyclovirus TsCyV-1_JP-NUBS-2014
NC_027619	Varroa Tymo-like virus
NC_027637	Gokushovirinae Bog8989_22
NC_027636	Gokushovirinae Bog5712_52
NC_027635	Microviridae Bog5275_51
NC_027634	Microviridae Bog1249_12
NC_027633	Gokushovirinae Bog1183_53
NC_027631	Bee Macula-like virus
NC_027648	Microviridae Fen7940_21
NC_027647	Microviridae Fen7918_21
NC_027646	Microviridae Fen7895_21
NC_027645	Gokushovirinae Fen7875_21
NC_027644	Microviridae Fen7786_21
NC_027643	Microviridae Fen685_11
NC_027642	Gokushovirinae Fen672_31
NC_027641	Microviridae Fen4707_41
NC_027640	Microviridae Fen418_41
NC_027639	Microviridae Fen2266_11
NC_027638	Microviridae Bog9017_22
NC_027701	Trichomonas vaginalis virus 1
NC_027714	Capulavirus medicagonis
NC_027710	Opium poppy mosaic virus
NC_027712	Tobacco virus 1
NC_027713	Bombyx mori iflavirus
NC_027706	Lettuce Italian necrotic virus
NC_027711	Dromedary astrovirus
NC_027702	Trichomonas vaginalis virus dsRNA satellite S1
NC_027703	Luffa aphid-borne yellows virus
NC_027720	Chrysanthemum stem necrosis virus
NC_027719	Chrysanthemum stem necrosis virus
NC_027718	Chrysanthemum stem necrosis virus
NC_027776	Poecile atricapillus GI tract-associated gemycircularvirus
NC_027777	Rat associated porprismacovirus 1
NC_027783	Littorina sp. associated circular virus
NC_027789	Hermit crab associated circular virus
NC_027793	Gammarus sp. amphipod associated circular virus
NC_027791	Fiddler Crab associated circular virus
NC_027787	Farfantepenaeus duorarum pink shrimp associated circular virus
NC_027782	Didemnum sp. Sea Squirt associated virus
NC_027785	Callinectes sapidus associated circular virus
NC_027784	Callinectes ornatus blue crab associated circular virus
NC_027795	Calanoida sp. copepod associated circular virus
NC_027796	Artemia melana sponge associated circular genome
NC_027781	Aiptasia sp. sea anemone associated circular virus
NC_027802	Grapevine Cabernet Sauvignon reovirus
NC_027808	Grapevine Cabernet Sauvignon reovirus
NC_027809	Grapevine Cabernet Sauvignon reovirus
NC_027810	Grapevine Cabernet Sauvignon reovirus
NC_035937	Grapevine Cabernet Sauvignon reovirus
NC_035938	Grapevine Cabernet Sauvignon reovirus
NC_035939	Grapevine Cabernet Sauvignon reovirus
NC_035935	Grapevine Cabernet Sauvignon reovirus
NC_035936	Grapevine Cabernet Sauvignon reovirus
